"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"zbeta0[31]",1.72613041155,1.72758,1.74721620461599,20000,0.95,1.30093,2.14679,NA,NA,NA,NA,NA,NA,NA
"zbeta0[32]",-0.6994620638083,-0.6999615,-0.718539073340257,20629.8,0.95,-1.07232,-0.334011,NA,NA,NA,NA,NA,NA,NA
"zbeta0[33]",0.49421742364365,0.494681,0.486692440522523,19397.9,0.95,0.103839,0.896179,NA,NA,NA,NA,NA,NA,NA
"zbeta0[34]",-0.56376111624915,-0.5643085,-0.577698304084992,20000,0.95,-0.957408,-0.174469,NA,NA,NA,NA,NA,NA,NA
"zbeta0[35]",-0.202756050138885,-0.205063,-0.232067742827985,20000,0.95,-0.619764,0.230109,NA,NA,NA,NA,NA,NA,NA
"zbeta0[36]",-0.0347616810371295,-0.03550565,-0.0461333565260869,19243.9,0.95,-0.411295,0.357645,NA,NA,NA,NA,NA,NA,NA
"zbeta0[37]",-0.72523561630215,-0.7258475,-0.736061745132858,20000,0.95,-1.10862,-0.341408,NA,NA,NA,NA,NA,NA,NA
"zbeta0[38]",-0.10587193303538,-0.106754,-0.129381063867388,20000,0.95,-0.493957,0.261705,NA,NA,NA,NA,NA,NA,NA
"zbeta0[39]",0.149838164251415,0.15013,0.136897720915453,20485.7,0.95,-0.248192,0.5531,NA,NA,NA,NA,NA,NA,NA
"zbeta0[40]",-2.7243366975,-2.727365,-2.71567470547286,20000,0.95,-3.09037,-2.33099,NA,NA,NA,NA,NA,NA,NA
"zbeta0[41]",0.6724918029795,0.674085,0.679915903837353,19060.6,0.95,0.268852,1.06375,NA,NA,NA,NA,NA,NA,NA
"zbeta0[42]",-0.5283886187175,-0.5275575,-0.506520332624716,20000,0.95,-0.908551,-0.132717,NA,NA,NA,NA,NA,NA,NA
"zbeta0[43]",-0.282681922653745,-0.284655,-0.308144793606901,20000,0.95,-0.683413,0.107016,NA,NA,NA,NA,NA,NA,NA
"zbeta0[44]",-0.6334893231173,-0.6348545,-0.636299054039034,19336.9,0.95,-1.02004,-0.241479,NA,NA,NA,NA,NA,NA,NA
"zbeta0[45]",-0.55228339576525,-0.553541,-0.544686365616374,20000,0.95,-0.953022,-0.174774,NA,NA,NA,NA,NA,NA,NA
"zbeta0[46]",0.206808244982595,0.2057115,0.208336933166942,20000,0.95,-0.180013,0.593395,NA,NA,NA,NA,NA,NA,NA
"zbeta0[47]",0.046246159072103,0.048543,0.0285821391645316,20000,0.95,-0.386651,0.469902,NA,NA,NA,NA,NA,NA,NA
"zbeta0[48]",0.7685072372465,0.771051,0.792290056436876,20000,0.95,0.379039,1.171,NA,NA,NA,NA,NA,NA,NA
"zbeta0[49]",0.3345483311846,0.333737,0.342022148721407,20000,0.95,-0.0467392,0.733149,NA,NA,NA,NA,NA,NA,NA
"zbeta0[50]",-0.8673959952325,-0.8685485,-0.886831899866767,20000,0.95,-1.26199,-0.472812,NA,NA,NA,NA,NA,NA,NA
"zbeta0[51]",0.115002729031059,0.113833,0.110504136129326,19292.5,0.95,-0.287846,0.533189,NA,NA,NA,NA,NA,NA,NA
"zbeta0[52]",0.41395733434594,0.412468,0.404524288214922,19000.9,0.95,0.0236732,0.833669,NA,NA,NA,NA,NA,NA,NA
"zbeta1[1]",0.179248012586825,0.188833,0.197719172324591,10139.2,0.95,-0.0190464,0.352795,NA,NA,NA,NA,NA,NA,NA
"zbeta1[2]",0.222162626745885,0.2169905,0.212267050443861,16223.8,0.95,0.0462444,0.412223,NA,NA,NA,NA,NA,NA,NA
"zbeta1[3]",0.157753413059262,0.172956,0.196344734375515,8541.9,0.95,-0.0543711,0.330119,NA,NA,NA,NA,NA,NA,NA
"zbeta1[4]",0.170648555755466,0.182177,0.194457270179738,9226.7,0.95,-0.0391737,0.336207,NA,NA,NA,NA,NA,NA,NA
"zbeta1[5]",0.18470199153685,0.192002,0.200570912171102,12253.8,0.95,-0.0117825,0.35087,NA,NA,NA,NA,NA,NA,NA
"zbeta1[6]",0.199559199235475,0.2012675,0.201416692108085,16115.9,0.95,0.0106813,0.370401,NA,NA,NA,NA,NA,NA,NA
