"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"zbeta1[49]",0.18090523241223,0.189164,0.199437964990378,12550.5,0.95,-0.0145883,0.355955,NA,NA,NA,NA,NA,NA,NA
"zbeta1[50]",0.193419194118795,0.198151,0.200646125860147,15488.1,0.95,0.000132018,0.381779,NA,NA,NA,NA,NA,NA,NA
"zbeta1[51]",0.1809795713854,0.1895625,0.197780857284572,9909.4,0.95,-0.0306038,0.350492,NA,NA,NA,NA,NA,NA,NA
"zbeta1[52]",0.25434037425115,0.239375,0.216891105984729,8363.9,0.95,0.0797694,0.466632,NA,NA,NA,NA,NA,NA,NA
"zbeta0mu",0.006688203505512,0.005774615,-0.00593020365244823,20643.2,0.95,-0.235246,0.251021,NA,NA,NA,NA,NA,NA,NA
"zbeta1mu",0.20543135959,0.205381,0.201629237450919,6748,0.95,0.141529,0.269351,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.47533506315,0.4755985,0.475710990335807,19020,0.95,0.414897,0.540114,NA,NA,NA,NA,NA,NA,NA
"sigma",7018.9186055,7022.81,7024.47133367731,19020,0.95,6126.48,7975.46,NA,NA,NA,NA,NA,NA,NA
"nu",20.228778552,14.08195,8.88606497355545,14067.3,0.95,3.44452,56.4181,NA,NA,NA,NA,NA,NA,NA
"zbeta0sigma",0.8561136743,0.848399,0.825514923618741,20000,0.95,0.679869,1.03941,NA,NA,NA,NA,NA,NA,NA
"zbeta1sigma",0.086241065297,0.08389585,0.0873745365990363,1664.7,0.95,0.001006,0.17439,NA,NA,NA,NA,NA,NA,NA
