"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-146.710630636627,-148.096690110284,-142.763258029425,10989.2,0.95,-311.386851549706,24.6812137858575,NA,NA,NA,NA,NA,NA,NA
"beta1",4.46845648635422,4.49366813534708,4.44791231030576,10985.1,0.95,1.96304349575619,6.95450427361239,0,99.875,-0.5,0.5,0.07,0.180000000000007,99.75
"sigma",25.7399412593491,25.5073460805058,24.8869743580864,5882.1,0.95,16.7292482322323,35.5176590201592,NA,NA,NA,NA,NA,NA,NA
"nu",27.0759963089184,17.7869588595664,6.3562237527702,2793,0.95,0.931266745260773,82.1011964334805,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.2314712669893,1.25010170037427,1.33236959027098,3258.8,0.95,0.406140127784705,2.01049081090456,NA,NA,NA,NA,NA,NA,NA
