"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-1.77590264079757,-1.98883708363117,-2.77593690899867,1687.6,0.95,-21.4876378239506,17.4325363506628,NA,NA,NA,NA,NA,NA,NA
"beta1",2.32393141062419,2.32578832124577,2.33427719791929,1696.4,0.95,1.9973583096645,2.65492537034303,0,100,-0.5,0.5,0,0,100
"sigma",27.9823004758342,27.5564759846737,27.1695813663751,8931,0.95,20.0268441214443,36.5396795031724,NA,NA,NA,NA,NA,NA,NA
"nu",36.3823602658854,27.8325454478893,12.1591965226195,4276.3,0.95,1.90945425560518,96.5507670756537,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.42030987975508,1.44455292689343,1.4959284220104,5707.4,0.95,0.693779702978383,2.07925070828034,NA,NA,NA,NA,NA,NA,NA
