"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",705.65601472,705.7265,705.358496704513,25586,0.95,684.667,726.512,NA,NA,NA,NA,NA,NA,NA
"mu[2]",1026.26480174,1026.835,1026.56182687202,19339.6,0.95,975.805,1074.04,NA,NA,NA,NA,NA,NA,NA
"muDiff",320.60878702,321.0545,324.702271109995,23284.4,0.95,268.456,373.687,0,100,-100,100,0,0,100
"sigma[1]",81.124147982,80.5278,79.5120228793294,12135.8,0.95,60.7857,102.043,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",200.828975,199.6215,199.428378709018,11195.8,0.95,155.726,249.628,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",119.704827018,118.70135,115.170030512115,18239,0.95,75.2854,165.2954,0,100,-10,10,0,0,100
"nu",3.360921303,3.16033,2.8891659969673,7780,0.95,1.76317,5.4061,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.508846601036589,0.499732433788092,0.475386331764395,8531.7,0.95,0.278588995011328,0.750994100987553,NA,NA,NA,NA,NA,NA,NA
"effSz",2.12119863226489,2.10546310968436,2.03920854379159,11255,0.95,1.49157654728468,2.76738791484042,0,100,-1,1,0,0.00199999999999534,99.998
