"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",154.871539994,154.7935,154.74812134377,26548.5,0.95,138.777,171.291,NA,NA,NA,NA,NA,NA,NA
"mu[2]",156.42098654,156.531,156.932359781121,26437.4,0.95,141.547,170.36,NA,NA,NA,NA,NA,NA,NA
"muDiff",1.549446546,1.66600000000003,2.55145640463745,26411.1,0.95,-20,23.494,0,56.384,-1,1,39.864,7.56,52.576
"sigma[1]",24.1763294806,22.7943,20.8650038270562,10223.2,0.95,11.9517,39.6143,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",21.1778605744,19.93895,17.9752188971694,11615.5,0.95,10.5641,34.7828,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",-2.9984689062,-2.7353,-2.28006566906835,11280.1,0.95,-23.7051,16.8121,0,36.7,-1,1,58.626,9.16200000000001,32.212
"nu",34.08157500396,24.63135,8.45908374491773,7943.6,0.95,0.946769,95.8511,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.35726477086445,1.39148821536863,1.53830911963939,11418.1,0.95,0.507847779176672,2.08757557589911,NA,NA,NA,NA,NA,NA,NA
"effSz",0.0758394858193125,0.0755419413342735,0.114687347421671,27888.5,0.95,-0.835174205827838,1.0176560454198,0,56.384,-0.1,0.1,35.374,16.756,47.87
