"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",-0.0672402556514126,-0.06704875,-0.0611465734181588,29200.6,0.95,-0.225478,0.0962,NA,NA,NA,NA,NA,NA,NA
"mu[2]",0.23289079564032,0.2316305,0.224040457688173,26018.5,0.95,0.0901484,0.378945,NA,NA,NA,NA,NA,NA,NA
"muDiff",0.300131051291733,0.29984995,0.28811551058539,26660.2,0.95,0.084078,0.511674,0,99.498,-0.05,0.05,0.166,1.072,98.762
"sigma[1]",0.237134958126,0.223688,0.202966161247601,13665.6,0.95,0.124691,0.383787,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",0.212900830998,0.2015005,0.18847984283751,11779.1,0.95,0.0913596,0.350711,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",-0.024234127128,-0.0228015,-0.0238376878796874,12232.1,0.95,-0.22633,0.173659,0,38.786,-0.05,0.05,36.742,44.026,19.232
"nu",32.6439458922,23.5823,7.8919359932224,9197.3,0.95,0.920307,92.0734,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.33880675903997,1.37258615976168,1.50861751199655,12149.5,0.95,0.481120012802014,2.06436063644965,NA,NA,NA,NA,NA,NA,NA
"effSz",1.3740737838429,1.35913598937252,1.34938159203525,22258.8,0.95,0.317408369275129,2.49634235635393,0,99.498,-0.2,0.2,0.138,1.202,98.66
