"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",489389.69302,489408,489610.42252291,23506.8,0.95,457277,520660,NA,NA,NA,NA,NA,NA,NA
"mu[2]",1027631.74614,1028115,1030962.59241797,16303.6,0.95,934894,1119700,NA,NA,NA,NA,NA,NA,NA
"muDiff",538242.05312,538571.5,539643.973968138,17815.7,0.95,442259,636608,0,100,-1e+05,1e+05,0,0,100
"sigma[1]",142897.643314,142823.5,143364.121811519,10748.2,0.95,114889,171408,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",454548.8794,453676,452521.055503146,13508.2,0.95,383557,529037,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",311651.236086,310318.5,304574.661658523,18490.3,0.95,241369,384976,0,100,-1e+05,1e+05,0,0,100
"nu",30.0710276678,21.19235,10.5939237776705,6701.8,0.95,3.30043,84.5735,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.34160562030474,1.3261791178818,1.27014549673488,7608.1,0.95,0.725750782938705,1.99962851938737,NA,NA,NA,NA,NA,NA,NA
"effSz",1.60706189769731,1.60021130983135,1.58782841690935,13569.7,0.95,1.21984608319295,2.00564561158924,0,100,-1,1,0,0.063999999999993,99.936
