"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",684.037802208858,684.115465568026,684.467531673446,20000,0.95,660.298588407775,706.711401193337,NA,NA,NA,NA,NA,NA,NA
"beta1",-1.55565938418028,-1.55775858748405,-1.58244779728657,20000,0.95,-2.7320219752155,-0.372241059086807,0,0.44,-0.5,0.5,95.85,4.11500000000001,0.035
"sigma",18.3453132388999,18.3185337022751,18.2252114069476,20000,0.95,16.7534028116066,19.9765901216303,NA,NA,NA,NA,NA,NA,NA
