"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.769724026838696,0.783898363484087,0.802307046901052,50000,0.95,0.546575708630579,0.963018119665088,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.353113279266533,0.347486626198636,0.338015287173931,50000,0.95,0.144819087201721,0.575646407721065,NA,NA,NA,NA,NA,NA,NA
"theta[3]",0.571615376344511,0.578959308412311,0.627384833504511,50000,0.95,0.237439370540685,0.890584982917004,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.416610747572163,0.426543508503053,0.461573146294406,50000,0.95,0.0963021268066118,0.708242691811625,0,99.192,NA,NA,NA,NA,NA
"theta[1]-theta[3]",0.198108650494185,0.196100274780169,0.189080107095793,50000,0.95,-0.188483779422312,0.610659360875847,0,82.496,NA,NA,NA,NA,NA
"theta[2]-theta[3]",-0.218502097077978,-0.224348487016734,-0.21416050125037,50000,0.95,-0.610409972577609,0.182383153584272,0,15.254,NA,NA,NA,NA,NA
