"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.501144085958003,0.501681282318795,0.516591868372285,50000,0.95,0.0953023230825336,0.907586099192585,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.500922848290879,0.500963165422215,0.514642871011534,50000,0.95,0.101741260141215,0.913250514256801,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.00022123766712401,0.00214504411466093,0.011764371500899,50000,0.95,-0.611063633888152,0.60714087689725,0,50.252,NA,NA,NA,NA,NA
