"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.499140773832523,0.495786479514614,0.97135989516676,51070.7,0.95,0.00617993950402437,0.999999999182141,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.497974292559404,0.494797369198305,0.0286536230797597,47930.3,0.95,0.00623141354515239,0.999999999970811,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.00116648127311898,0.00186450411312034,0.00230581567349231,51287.3,0.95,-0.905788307063448,0.938199336706278,0,50.302,NA,NA,NA,NA,NA
