"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.768640424679959,0.782808128988443,0.828292797019897,50000,0.95,0.54731771006664,0.962119945813429,NA,NA,0.45,0.55,0.77,3.48400000000001,95.746
"theta[2]",0.352253733041985,0.345834762313149,0.327575335571005,50000,0.95,0.144750828323716,0.574849212437802,NA,NA,0.45,0.55,80.524,14.688,4.788
"theta[3]",0.570603977927268,0.577389387083507,0.58231580308339,50000,0.95,0.235428065603288,0.890929228506209,NA,NA,0.45,0.55,25.538,18.816,55.646
"theta[1]-theta[2]",0.416386691637974,0.426600313171936,0.456446915312861,50000,0.95,0.0998813081864247,0.711084862477801,0,99.222,-0.05,0.05,0.38,1.28400000000001,98.336
"theta[1]-theta[3]",0.198036446752692,0.195706569728591,0.181447364430169,50000,0.95,-0.187270174183471,0.616347883690142,0,82.456,-0.05,0.05,11.872,12.532,75.596
"theta[2]-theta[3]",-0.218350244885283,-0.225238707335775,-0.265499392179453,49260.4,0.95,-0.608167546245057,0.185852696051329,0,15.586,-0.05,0.05,78.432,10.894,10.674
