"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.499345192274053,0.498201496266183,0.24738469320682,50000,0.95,0.0422411174611752,0.989559503800449,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.500435415264026,0.502328989819578,0.676350091007722,50000,0.95,0.00997858215355773,0.957398351049051,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",-0.00109022298997287,-0.000832984806232284,-0.00347032785854151,50000,0.95,-0.773405898387089,0.765824499019846,0,49.926,NA,NA,NA,NA,NA
